"","X685.2_CTRL","X697.3_CTRL","X697.1_CTRL","X468.4_CTRL","X468.4_LPS","X685.2_LPS","X697.3_LPS","X697.1_LPS","X685.1_CTRL","X697.5_CTRL","X697.2_CTRL","X468.6_CTRL","X697.5_LPS","X697.2_LPS","X685.1_LPS","X468.6_LPS","Gene_name"
"PISD",1052.37036562955,1035.7433516153,1114.88091730143,1213.36985377775,1131.11314479412,1148.73964141,1242.03042059608,1232.35774955907,1092.2210510567,1311.1004581121,1252.52131181698,899.940852607018,1674.03243501482,1432.42362865582,1273.85179463627,1270.64861898162,"PISD"
"PISD-PS1",3023.313397591,2330.14501076154,3349.23704139868,2132.55771539714,1694.08726708892,2485.33395645144,2036.86460565559,2508.39635449466,2313.0931393773,2252.55144785778,2262.27262666086,1870.46530149694,1869.62216900337,1504.15349169928,1706.9744900904,1838.90414340142,"PISD-PS1"
"PISD-PS2",472.151496559957,383.546975330211,527.577576937286,365.895395940746,268.574810636048,387.346362443602,393.336834906247,408.462466765619,381.7522615953,348.471634241247,352.338756668928,326.449132808428,313.727894116979,215.189589130388,301.615653480903,298.35447419466,"PISD-PS2"
"PITHD1",366.657156729122,320.825111057688,395.108896516168,410.389113615944,320.223812681442,336.642224870512,300.306961090247,312.271646947094,379.126730222567,481.314411935424,405.619251579839,485.262224444961,380.885271451395,284.745819960413,331.384660494745,464.197288188422,"PITHD1"
"PITPNA",3323.0717046713,4260.09122381964,2791.79658274796,4147.33794283052,4281.70226956315,3707.22055042589,4786.95824390051,3043.25448788172,2890.71004137844,4595.59000515943,3815.14124446757,3855.6289469536,4599.54504765565,4136.42210217302,3189.20933382356,4081.84690717,"PITPNA"
"PITPNB",1644.16788175375,1654.08102240815,1738.93857362058,1757.76357592135,1714.74686790708,1762.17658450737,1708.81189272548,1733.75820648751,1696.61837305972,1792.41487004752,1715.28819100288,1817.52760428476,1734.81721449998,1849.76101363596,1969.66144209167,1879.5518919293,"PITPNB"
"PITPNC1",824.656973555674,744.336460083666,861.429280195133,676.30450866301,542.314521476635,570.213743854745,571.236067291231,640.342752221868,450.016077286344,673.840176709594,743.348840289323,467.616325374235,429.905254907173,399.948327272641,276.42649369996,321.930168340832,"PITPNC1"
"PITPNM1",573.786287372591,641.650222115375,670.000551262881,823.918960244255,723.086028635514,724.819802684165,747.50319662681,783.002567121806,555.037332195642,770.103059096678,664.717142154672,547.022871192501,893.634298398834,734.687688142133,580.986334687727,626.788282299954,"PITPNM1"
"PITPNM2",1106.40405188437,1266.09356111174,1027.58941690833,1148.46137152217,1027.81514070334,895.218953544548,1147.36844373067,737.462951942021,1146.30699733499,1014.61078035987,894.596696810619,1579.30796682996,1009.81165918903,723.819527074942,942.140002196313,1546.24035400066,"PITPNM2"
"PITPNM3",5.14606535760171,1.11012149154909,4.59428949437404,5.23455502061153,5.16490020453938,1.6624307401013,1.63210304940352,2.32344975407064,6.30127529455791,13.4768035341919,4.29681410571863,26.4688486060888,16.6667943749645,8.69452885375306,4.25271528769169,25.2016040872874,"PITPNM3"
"PITRM1",2540.86977031584,2557.71991652911,2455.64773474293,1946.20755666337,1859.36407363418,2665.70769175243,2500.38187168619,2133.39156418766,1524.90862128301,1584.48704409142,1581.65727231503,1394.02602658734,1729.91521615441,1717.16944861623,1632.06127463799,1694.19815864216,"PITRM1"
"PITX2",91.3426600974304,116.562756612655,49.0057546066565,132.434242021472,108.462904295327,48.2104914629376,99.5582860136145,35.7811262126879,48.8348835328238,86.6365941483763,51.9914506791955,202.927839313347,87.2555705512849,49.9935409090801,41.8728889865028,137.389390024244,"PITX2"
