"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gpr161",134.19437232761,-1.8197377742624,0.286980670418927,-6.34097680378959,2.2831291826476e-10,1.76705375049262e-08
"Stxbp5",1694.71621029717,1.23445220659616,0.194704796441109,6.34012222174268,2.29582958843482e-10,1.76834066520742e-08
"Izumo1",22.5409444487984,3.50220835498791,0.552572608668547,6.33800572096157,2.32758188401548e-10,1.78421958678526e-08
"Adam19",3120.39051482227,-1.76261355652127,0.278478655289904,-6.32943862317325,2.46054741737559e-10,1.8771633416083e-08
"Cthrc1",1270.29485993555,-2.86747721889391,0.45351397558095,-6.32279791426643,2.56869143326505e-10,1.95037940532414e-08
"Npr1",322.931309087846,2.53672607490002,0.401310877919117,6.32109971215704,2.59708367614807e-10,1.96263573469662e-08
"Zfp9",579.72715824193,-1.15984293798965,0.183592828505941,-6.31747409432232,2.65872990945487e-10,1.99978929011157e-08
"Sv2a",532.146122152702,2.13580113389752,0.338487615006313,6.30983539488642,2.79332397132264e-10,2.09120763292336e-08
"Ddo",56.5647471524916,2.82359694761173,0.447542607999776,6.30911313725272,2.80638919858264e-10,2.09121680699965e-08
"Cdo1",610.885258766279,-1.76818931634111,0.280374512248586,-6.30652658888409,2.85366974774821e-10,2.11660384392009e-08
"Maob",159.734280978136,-2.37201651279144,0.37629876851734,-6.30354577597331,2.90912238900632e-10,2.14779031310001e-08
"Top1mt",201.731263247938,-0.858242809921177,0.136180667109773,-6.30223678688076,2.93380498164262e-10,2.15607750508699e-08
"Col5a1",17837.2683140921,-1.59643801588657,0.253468151546571,-6.29837715762584,3.00777950485032e-10,2.2003486505574e-08
"Brsk1",260.5034925662,-1.24733226690575,0.198247223788908,-6.29180193834087,3.13801715778997e-10,2.28518967658878e-08
"Lrrn3",68.8983194749685,-3.66787914413061,0.583532668162233,-6.2856449077344,3.2649545431104e-10,2.36687044050551e-08
