"","gene","baseMean_I","log2FoldChange_I","lfcSE_I","stat_I","pvalue_I","padj_I","abs_LFC_I","baseMean_II","log2FoldChange_II","lfcSE_II","stat_II","pvalue_II","padj_II","abs_LFC_II","baseMean_III","log2FoldChange_III","lfcSE_III","stat_III","pvalue_III","padj_III"
"42","Chek2",431.630636648151,-0.516085473973043,0.166587557661552,-3.0979833141053,0.001948423986548,0.0329349955750303,0.516085473973043,431.630636648151,-0.991571331681692,0.165985552964806,-5.97384118057512,2.31731407331653e-09,1.00538710502541e-07,0.991571331681692,431.630636648151,0.438402881743157,0.16417781006279,2.67029315091661,0.00757850496359271,0.0342690454478461
"43","Cish",308.446213379694,1.69935395542433,0.246040491751392,6.90680604370363,4.95686902415597e-12,5.53121928282448e-10,1.69935395542433,308.446213379694,1.74073662932404,0.245993228095777,7.07635995835743,1.47990158058954e-12,1.05652104144696e-10,1.74073662932404,308.446213379694,0.880305968894325,0.252414198338873,3.48754537061536,0.000487476206664892,0.00405253505978159
"44","Cnr2",52.6107976417377,-4.12206714781213,0.830180729703026,-4.96526479154326,6.8607397229219e-07,3.37535242790014e-05,4.12206714781213,52.6107976417377,-5.42592203699643,0.740507032986687,-7.32730655522886,2.3482426460119e-13,1.84586860759382e-11,5.42592203699643,52.6107976417377,1.79219841084141,0.669124295297723,2.67842375988453,0.00739695695612222,0.0336762283018
"45","Coq10a",527.48208048145,-0.530108663113647,0.14893538624362,-3.55931975928491,0.000371816608410482,0.0088335198120258,0.530108663113647,527.48208048145,-0.516788779699258,0.14689058851905,-3.51818850281369,0.000434503596766213,0.00494310558353433,0.516788779699258,527.48208048145,0.472539912486973,0.146360331188575,3.22860647177777,0.00124394943193359,0.00860134391411652
"46","Creg2",56.642424423897,-2.61712060414143,0.764422938499124,-3.42365524676681,0.000617849493305025,0.0133374912342674,2.61712060414143,56.642424423897,-2.80723692146296,0.684408905748699,-4.10169548917839,4.10133792441948e-05,0.000684853919175945,2.80723692146296,56.642424423897,2.24065860995856,0.678216334994258,3.30375205424318,0.000954001666924765,0.00700461077259471
"47","Cst7",41.5324859952247,3.37831491271921,0.822023288626493,4.1097557203811,3.96077884328863e-05,0.0013060392592677,3.37831491271921,41.5324859952247,2.35048552418762,0.758104832174794,3.10047558652901,0.0019321014057389,0.0165810653739892,2.35048552418762,41.5324859952247,2.82225406239096,0.836338020857073,3.37453755779122,0.000739398256914667,0.00568694165819965
"48","Ctps",2879.32608283911,0.602825370793421,0.20455229614213,2.94704768493314,0.00320823725871271,0.0484777018045414,0.602825370793421,2879.32608283911,0.729058508788552,0.205920341264816,3.54048805625751,0.000399387712023784,0.00461466114799647,0.729058508788552,2879.32608283911,-0.579473206624579,0.205886656045021,-2.81452532065928,0.00488493291953208,0.0243925334900892
"49","Cx3cr1",92.8026746271383,-2.83275600449292,0.635753708271518,-4.45574436709868,8.36026048149101e-06,0.000339682456871979,2.83275600449292,92.8026746271383,-2.80617599490228,0.568974917013532,-4.93198541972903,8.1397993937341e-07,2.1647760474549e-05,2.80617599490228,92.8026746271383,2.18718578524014,0.564151991928908,3.87694418619683,0.000105776610943841,0.00117276614804933
"50","Cxcl16",3214.06219536201,3.39291753418958,0.343050271889125,9.89043825998242,4.58018335752279e-23,1.53326616353247e-20,3.39291753418958,3214.06219536201,2.93435828320924,0.342906934364044,8.55730225651838,1.15539323381258e-17,1.45935053070789e-15,2.93435828320924,3214.06219536201,1.69796301765292,0.344633729927418,4.92686255059979,8.3560491506643e-07,2.07851777454627e-05
"51","Cxcr4",393.077015523068,-4.33475568133799,0.808491398109856,-5.36153593157833,8.25173043785808e-08,4.88724603894525e-06,4.33475568133799,393.077015523068,-3.78888616114943,0.774265493736677,-4.89352320592762,9.90466292712194e-07,2.59063909269041e-05,3.78888616114943,393.077015523068,1.93390401741099,0.771377985862722,2.50707701393381,0.0121734184792118,0.0486967134720232
"52","Cyth4",404.370243144564,-2.73916610789198,0.635655852840837,-4.30919670707075,1.63848588010402e-05,0.000607976965487272,2.73916610789198,404.370243144564,-2.2001030995562,0.621477986466737,-3.54011428798042,0.000399953791125573,0.00461759150410447,2.2001030995562,404.370243144564,1.68322986154706,0.620731546216352,2.71168731766112,0.00669417062526062,0.031149377748272
"53","D030025P21Rik",87.7091443583392,1.04018485774992,0.23971391048611,4.33927616315866,1.42952788125965e-05,0.00054759452347058,1.04018485774992,87.7091443583392,0.997097192961329,0.266105496206117,3.74699961923751,0.00017896235769821,0.00238691852171854,0.997097192961329,87.7091443583392,-0.949877026110915,0.265344140467346,-3.57979273421269,0.000343866843312473,0.00304706343844532
