"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006692","GO:0006692","prostanoid metabolic process",12,0.768174977691165,1.69771472576566,0.00287787787787788,0.0354066187399521,0.0304196740600249,397,"tags=42%, list=10%, signal=38%","Il1b/Cd74/Ptges/Ptgs2/Edn1"
"GO:0006693","GO:0006693","prostaglandin metabolic process",12,0.768174977691165,1.69771472576566,0.00287787787787788,0.0354066187399521,0.0304196740600249,397,"tags=42%, list=10%, signal=38%","Il1b/Cd74/Ptges/Ptgs2/Edn1"
"GO:0002861","GO:0002861","regulation of inflammatory response to antigenic stimulus",12,0.765295841908838,1.69135165568776,0.00287787787787788,0.0354066187399521,0.0304196740600249,147,"tags=33%, list=4%, signal=32%","Il12b/Tnf/C3/Nod2"
"GO:0002486","GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",15,0.741304870972462,1.71255204584061,0.00289296046287367,0.0355248982359686,0.0305212941481568,760,"tags=80%, list=20%, signal=65%","H2-M2/H2-Q6/H2-Q10/H2-Q7/H2-Q4/H2-T10/H2-Q1/Gm7030/H2-K1/H2-M3/Gm11127/H2-T22"
"GO:0010623","GO:0010623","programmed cell death involved in cell development",7,0.851005344509787,1.6731385039489,0.00292479108635097,0.0358480054659169,0.0307988924326373,143,"tags=43%, list=4%, signal=41%","Il1b/Il1a/Casp4"
"GO:0031650","GO:0031650","regulation of heat generation",11,0.77520539811811,1.68180148587558,0.00293105645469606,0.0358571426171481,0.0308067426361354,383,"tags=45%, list=10%, signal=41%","Il1b/Tnf/Ccl5/Ptges/Ptgs2"
"GO:0031620","GO:0031620","regulation of fever generation",8,0.822939206828997,1.66843976399502,0.00298710115410726,0.0364740772501519,0.0313367833776745,383,"tags=62%, list=10%, signal=56%","Il1b/Tnf/Ccl5/Ptges/Ptgs2"
"GO:0032960","GO:0032960","regulation of inositol trisphosphate biosynthetic process",4,-0.862293281833294,-1.78646031066615,0.00301122365179305,0.0365960834979606,0.0314416053127734,177,"tags=75%, list=5%, signal=72%","P2ry1/Gper1/P2ry6"
"GO:0032962","GO:0032962","positive regulation of inositol trisphosphate biosynthetic process",4,-0.862293281833294,-1.78646031066615,0.00301122365179305,0.0365960834979606,0.0314416053127734,177,"tags=75%, list=5%, signal=72%","P2ry1/Gper1/P2ry6"
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation",97,0.52176547123451,1.49062398388044,0.00301962757926522,0.0365960834979606,0.0314416053127734,989,"tags=43%, list=25%, signal=33%","Il12b/Ccl5/Csf2/Csf3/Il23a/Parp14/Icam1/Irf1/Ripk2/Socs3/Il15/Lif/Nod2/Cd74/Parp9/Socs1/Tslp/Jak2/Pdgfb/Hck/Enpp2/Agrn/Il34/Ptprj/Ereg/Lck/Htr2a/Syk/Tnfrsf14/Gdnf/Ptprc/Il18/Ptpn2/Sh3bp5/Stat5a/Cd44/Bmp6/Hcls1/Pxn/Adam17/Gprc5a/Src"
"GO:0018212","GO:0018212","peptidyl-tyrosine modification",97,0.52176547123451,1.49062398388044,0.00301962757926522,0.0365960834979606,0.0314416053127734,989,"tags=43%, list=25%, signal=33%","Il12b/Ccl5/Csf2/Csf3/Il23a/Parp14/Icam1/Irf1/Ripk2/Socs3/Il15/Lif/Nod2/Cd74/Parp9/Socs1/Tslp/Jak2/Pdgfb/Hck/Enpp2/Agrn/Il34/Ptprj/Ereg/Lck/Htr2a/Syk/Tnfrsf14/Gdnf/Ptprc/Il18/Ptpn2/Sh3bp5/Stat5a/Cd44/Bmp6/Hcls1/Pxn/Adam17/Gprc5a/Src"
"GO:0035743","GO:0035743","CD4-positive, alpha-beta T cell cytokine production",9,0.812654324221997,1.69388382193224,0.00303430079155673,0.0366592939248432,0.0314959126895123,255,"tags=56%, list=7%, signal=52%","Il12b/Il1b/Rsad2/Nlrp3/Arid5a"
"GO:0043270","GO:0043270","positive regulation of ion transport",80,0.536484882160338,1.51563875927147,0.0030361299463617,0.0366592939248432,0.0314959126895123,459,"tags=24%, list=12%, signal=21%","Il1b/Cxcl10/Cxcl1/Cxcl9/Ccl5/Il1a/Lcn2/Ccl2/Cx3cl1/Adora2a/Bdkrb1/Lpar3/Hap1/Lrrc55/Ptges/Edn1/Pdgfb/Slc6a4/Abcc8"
"GO:0048660","GO:0048660","regulation of smooth muscle cell proliferation",58,0.568952853541092,1.57508584364234,0.00307692307692308,0.0370829170829171,0.0318598694538544,538,"tags=31%, list=14%, signal=27%","Il12b/Tnf/Ccl5/Tnfaip3/Cx3cl1/Il15/Mmp9/Ptgir/Jak2/Ptgs2/Edn1/Pdgfb/Itga2/Bmp2/Nr4a3/Nox1/Sod2/Ereg"
"GO:0032309","GO:0032309","icosanoid secretion",13,0.756797311244165,1.70017235188056,0.0030852770578798,0.0371147403110873,0.0318872104500559,397,"tags=46%, list=10%, signal=42%","Il1b/Nos2/Il1a/Ptges/Ptgs2/Edn1"
"GO:0032655","GO:0032655","regulation of interleukin-12 production",21,0.693725669743602,1.69797805139858,0.00309101316542645,0.0371150120565807,0.0318874439207919,836,"tags=67%, list=21%, signal=53%","Il12b/Il23a/Tnfsf4/Irf1/Tlr2/Nod2/Tlr3/Nfkb1/Rel/Il23r/Syk/Cd47/Mapk11/Rela"
"GO:0030003","GO:0030003","cellular cation homeostasis",96,0.523180652731705,1.493397712877,0.00312248186946011,0.0374236941402452,0.0321526488092397,761,"tags=31%, list=20%, signal=26%","Cxcl10/Cxcl9/Steap4/Ccl5/Il1a/Lcn2/Ccl2/Cx3cl1/Bdkrb1/Prnd/Slc39a4/Ccl8/Hap1/Slamf8/Nr3c2/Edn1/Gm6377/Atp2b4/Nox1/Lck/Slc11a2/Clic4/Rab20/Htr2a/Hrc/Myc/Slc4a7/Kcnh1/Slc31a2/Ptprc"
"GO:0010829","GO:0010829","negative regulation of glucose transmembrane transport",5,0.89329279027266,1.62551061601137,0.00314701034017683,0.0376482120990584,0.0323455439054329,16,"tags=40%, list=0%, signal=40%","Il1b/Tnf"
"GO:0032874","GO:0032874","positive regulation of stress-activated MAPK cascade",41,0.608797639114078,1.62983844029594,0.00316789862724393,0.037828436548854,0.0325003841363145,911,"tags=51%, list=23%, signal=40%","Il1b/Tnf/Il1a/Traf1/Ripk2/Zc3h12a/Nod2/Gadd45b/Tlr3/Bmp2/Nox1/Mfhas1/Nod1/Fcgr2b/Tnfsf11/Myd88/Eif2ak2/Traf3/Spi1/Traf2/Rasgrp1"
"GO:0051281","GO:0051281","positive regulation of release of sequestered calcium ion into cytosol",11,0.772671891524362,1.67630506497322,0.00318593092901746,0.0379739583759586,0.0326254095328838,270,"tags=45%, list=7%, signal=42%","Cxcl10/Cxcl9/Cx3cl1/Bdkrb1/Hap1"
"GO:1903556","GO:1903556","negative regulation of tumor necrosis factor superfamily cytokine production",21,0.692116880453673,1.69404034370984,0.00320549513451631,0.0381371728824505,0.0327656356337102,364,"tags=48%, list=9%, signal=43%","Tnfaip3/Cx3cl1/Cd274/Zc3h12a/Nod2/Bcl3/Trim30a/Lbp/Arg2/Clec4a1"
"GO:0050798","GO:0050798","activated T cell proliferation",17,0.720053993193718,1.70252070622589,0.00330344502123643,0.0392306743289796,0.0337051197971626,587,"tags=47%, list=15%, signal=40%","Il12b/Il23a/Icosl/Tnfsf4/Cd274/Itgal/Cd86/Il27ra"
"GO:0002673","GO:0002673","regulation of acute inflammatory response",20,0.70008960897242,1.70095969405566,0.00333640128854119,0.0395380572060179,0.0339692084693912,41,"tags=25%, list=1%, signal=25%","Il1b/Tnf/Ccl5/Nlrp3/C3"
"GO:0019915","GO:0019915","lipid storage",25,0.666329423078426,1.67643277546502,0.00334150144798396,0.0395380572060179,0.0339692084693912,873,"tags=52%, list=22%, signal=41%","Il1b/Tnf/C3/Nfkbia/Zc3h12a/Rnf213/Ikbke/Pla2g4c/Msr1/Ehd1/Ptpn2/Stat5a/Nrip1"
"GO:0070304","GO:0070304","positive regulation of stress-activated protein kinase signaling cascade",42,0.60196487412798,1.61493775131213,0.00337197049525817,0.0398260369767219,0.0342166269203039,911,"tags=50%, list=23%, signal=39%","Il1b/Tnf/Il1a/Traf1/Ripk2/Zc3h12a/Nod2/Gadd45b/Tlr3/Bmp2/Nox1/Mfhas1/Nod1/Fcgr2b/Tnfsf11/Myd88/Eif2ak2/Traf3/Spi1/Traf2/Rasgrp1"
"GO:0046425","GO:0046425","regulation of receptor signaling pathway via JAK-STAT",29,0.652942304093253,1.68104970672756,0.00338538822758545,0.0399119454199548,0.0342904353475176,608,"tags=45%, list=16%, signal=38%","Il12b/Cxcl5/Il23a/Parp14/Irf1/Socs3/Lif/Bcl3/Socs1/Jak2/Prl7c1/Il23r/Tyk2"
"GO:0045620","GO:0045620","negative regulation of lymphocyte differentiation",18,0.714857652034126,1.7056383288585,0.00339976553341149,0.0399594699880105,0.0343312661842805,348,"tags=44%, list=9%, signal=41%","Pglyrp3/Tnfsf4/Irf1/Zc3h12a/Pglyrp2/Cd74/Socs1/Nfkbid"
