Ensembl,Gene_name,P8_4_Lps3,P8_4_Lps5,P8_4_Lps4,P7_4_Lps1,P7_4_Lps2,P4_5_Lps2,P4_5_Lps3,P4_5_Lps1,P7_4_Ctrl1,P7_4_Ctrl2,P8_4_Ctrl3,P8_4_Ctrl4,P8_4_Ctrl5,P4_5_Ctrl1,P4_5_Ctrl3,P4_5_Ctrl2
ENSMUSG00000033530,Ttc7b,1241,1156,888,708,879,371,168,854,750,1558,1490,2122,1391,918,360,654
ENSMUSG00000021013,Ttc8,688.0002,611.99982,584.9997,399.9998,573.9997,302.9997,276.0004,651.00047,545.00035,1087.9999,999.9995,1333.0016,825.00028,651.9996,400.9997,448.0003
ENSMUSG00000042734,Ttc9,233,208,193,83,71,230,157,471,62,169,243,359,234,505,323,362
ENSMUSG00000007944,Ttc9b,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
ENSMUSG00000071660,Ttc9c,2556.0907,2421.5398,1957.22463,1488.1801,1795.2921,762.50202,873.8093,1769.97261,1235.66803,2722.0104,2476.6888,3345.643,2212.8671,1562.1174,1199.788,1057.65092
ENSMUSG00000026803,Ttf1,1126.9548,1071.79204,920.0549,658.46015,837.38496,481.01781,497.7201,1169.64538,745.8308,1532.2736,1450.1494,1985.5602,1289.3146,1121.55158,623.34883,796.34481
ENSMUSG00000033222,Ttf2,1394.9968,1326.0022,1005.9997,797.00045,903.0003,400.00027,335.99984,971.00045,867.99987,1808.9993,1744.99825,2249.00139,1533.9968,954.00022,577,675.00032
ENSMUSG00000027650,Tti1,1076.99934,954.99907,764.0003401,632.00049,772.99949,395.0003302,324.0002705,880.9995907,707.0004212,1540.9947,1439.9958,1799.9957,1192.99995,856.00043,919.0000004,634.00045
ENSMUSG00000031577,Tti2,703.531,615.111,518.221,354.797,418.784,223.859,320.94,450.462,305.695,684.636,689.904,896.329,557.833,478.314,378.215,325.92
ENSMUSG00000038379,Ttk,175,165,120,165,194,26,6,40,197,439,250,307,211,60,0,32
ENSMUSG00000027394,Ttl,1322.99736,1210.99523,965.99999,666.99991,840.0001,288,324,744.00048,771.00036,1693.002,1638.99938,2210.00039,1394.99698,676.99993,370.00049,528.00024
ENSMUSG00000022442,Ttll1,818.23711,749.55208,682.64407,423.54279,565.01404,300.71591,460.643605,742.41891,569.6863,1222.49435,1173.46099,1647.26532,1000.6476,866.00244,740.77989,601.67143
ENSMUSG00000029074,Ttll10,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1
