"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Il23a",79.3580415740437,7.29608067278227,0.858464831279775,8.49898610512148,1.91253793135248e-17,2.35529046246058e-15
"Mlkl",579.190069385586,2.66281775387922,0.315880670753753,8.42982176631832,3.46192095798488e-17,4.22812131546286e-15
"Zfp598",1162.17630885195,0.697430327127003,0.0828194384942673,8.42109461023789,3.72982906433519e-17,4.51798474694635e-15
"Tnn",145.027164766618,7.27663638073058,0.865177575183171,8.41056979451879,4.08023683282574e-17,4.90225527768283e-15
"Serpina3g",702.663698269886,6.05886303979744,0.720474952218681,8.40954015283856,4.11621300505219e-17,4.90559643456946e-15
"Usp18",1258.76837713473,5.15892649134323,0.614208800818258,8.39930408758459,4.49132360558069e-17,5.30982241946172e-15
"Phf11d",418.167393831473,5.28986869774641,0.630467747919745,8.39038747850395,4.84542497643441e-17,5.68299129378951e-15
"Cd274",4499.77852435405,5.05923343259085,0.60489944370671,8.36375944006299,6.07507256439184e-17,7.06908837453406e-15
"Oas1b",185.860578905321,4.91153234696631,0.58781553440568,8.35556745184047,6.5118911613612e-17,7.5181818423903e-15
"Il1rn",1133.46369821429,4.98212715321838,0.597364020602703,8.34018618696139,7.41736530952624e-17,8.49719570109912e-15
"Map3k8",400.128402589711,3.10629005873578,0.373357180173992,8.31988836343842,8.80462011707039e-17,1.00088212376974e-14
"Angptl4",661.16475411631,2.33553160905161,0.281184915175623,8.30603450968515,9.89534668140922e-17,1.11223373313982e-14
"Daxx",2415.18174731484,3.23680123620743,0.389714830699976,8.30556340489722,9.93469026759075e-17,1.11223373313982e-14
"Ccl8",88.1301713582011,4.01870529547551,0.484172451325838,8.30015273374364,1.03977634860526e-16,1.15532442704425e-14
"Rhbdf2",1650.80198191029,1.98823121310956,0.24208935693106,8.21279893636856,2.16091223637399e-16,2.38313142008469e-14
"Sele",189.047712460759,6.49164994397452,0.791484819390055,8.20186285945094,2.3669022519613e-16,2.59096899848031e-14
"Pyhin1",497.447032921615,6.34863964526683,0.775199894096078,8.18968074379018,2.61920014373522e-16,2.8460690973617e-14
"Plk2",10579.62036923,2.23545390287906,0.273722956410256,8.16684845215747,3.16550146694824e-16,3.38983917960588e-14
"Socs3",761.787089686889,4.17908390204611,0.511674501146816,8.16746563035588,3.14935426747732e-16,3.38983917960588e-14
"Il15",745.200984165669,4.74504893584197,0.581699306097192,8.15721952236462,3.42824970417084e-16,3.64479669987314e-14
"Ifi203",733.579728993557,6.01177686898487,0.737126751313496,8.15568944997914,3.47193522341736e-16,3.66487562369012e-14
"Xaf1",536.720919364448,3.97371271766631,0.489036745873519,8.12559127958462,4.45186811625155e-16,4.6659366682245e-14
"Tnip3",128.154069109834,4.44279497802744,0.547126750054418,8.12022986919495,4.6530153076106e-16,4.84241269125841e-14
"Casp4",837.368488634813,4.3683166415518,0.538190372069412,8.11667556362083,4.79127403333558e-16,4.95142990661771e-14
"Zfp36",1729.59628191783,2.39871373646367,0.295622923537031,8.11409923074927,4.89401375232775e-16,5.02248161332636e-14
"Hivep2",1966.66149794744,1.91761852969907,0.236858983299765,8.09603462357245,5.6779669037323e-16,5.78682723471421e-14
"H2-Q4",994.040943912702,3.67043356742947,0.454420979512319,8.0771657403858,6.62894222768101e-16,6.70976083840205e-14
"Eepd1",56.9823312319996,-3.74855678084514,0.464209239036907,-8.07514470979134,6.73966693785787e-16,6.77542843589548e-14
"Gabpb1",497.372626463256,0.85197543307486,0.105787894484015,8.05361934113923,8.03809481991335e-16,8.02614630058645e-14
"Slfn5",3261.90799449053,5.72938240859108,0.713567189709242,8.02921223287417,9.81005257787032e-16,9.72972865743406e-14
"Lfng",139.202550556877,-2.75620316483851,0.344692113559878,-7.99613062327787,1.28390173184983e-15,1.26489998621845e-13
"Nmi",435.499656933759,3.23472087110928,0.407094698829023,7.94586832109017,1.92835182670637e-15,1.8872306817925e-13
"Adora2a",112.232562634407,6.02658615671625,0.760695657866152,7.92246688198745,2.32844119626895e-15,2.26379631568832e-13
"Il1b",2057.1731566509,8.5727995936145,1.08238136648452,7.92031335633406,2.36912754410456e-15,2.28829848671746e-13
"Stat2",3395.9850380931,3.30524897921327,0.417411369299701,7.91844502165465,2.40499240953246e-15,2.30785570312147e-13
"Psmb10",1102.92982971717,2.40411479750967,0.304665981322338,7.8909853573908,2.99809833354766e-15,2.85844497891402e-13
"Gem",512.025078678436,3.39669588103486,0.430701351392933,7.88642958757754,3.10954874165745e-15,2.9456994425778e-13
"Fpr1",94.2267791465481,5.33993763836025,0.678177951730624,7.87394757487088,3.43622976132268e-15,3.23443333839659e-13
"Cdk6",715.457400520997,1.10248015901828,0.140383931579845,7.85332157755696,4.05161046711826e-15,3.78953794196669e-13
"Pim1",2520.32293167342,3.00683477062679,0.382971659162004,7.85132450063322,4.11666273973019e-15,3.82616616149262e-13
