"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0071346","GO:0071346","cellular response to interferon-gamma",33,0.708043132130093,1.96156708436072,0.000102806620746376,0.00561712635230101,0.00501863920565019,147,"tags=58%, list=16%, signal=50%","Nos2/Gbp6/Gbp5/Gbp4/Ccl5/Ccl2/Gbp2/Gbp9/Gbp3/Tlr2/Ccl20/Cx3cl1/Stx11/Gbp7/Parp14/Ccl7/Irf1/Casp1/H2-Q7"
"GO:0006959","GO:0006959","humoral immune response",17,0.78069105699102,1.95918101553673,0.00010901558922926,0.00561712635230101,0.00501863920565019,95,"tags=65%, list=10%, signal=59%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/C3/Ccl20/Tslp/Bcl3/Cxcl9/Pglyrp3/Slpi"
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway",13,0.82025165584278,1.95405363422936,0.000112561909049977,0.00561712635230101,0.00501863920565019,131,"tags=85%, list=14%, signal=73%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/Ccl5/Ccl2/Ccl20/Cx3cl1/Cxcl9/Ccl7/Cxcl11"
"GO:0042832","GO:0042832","defense response to protozoan",12,0.830589728241066,1.94693305057966,0.000113636363636364,0.00561712635230101,0.00501863920565019,96,"tags=67%, list=11%, signal=60%","Gbp6/Gbp4/Gbp2/Gbp9/Gbp3/Bcl3/Iigp1/Gbp7"
"GO:1990266","GO:1990266","neutrophil migration",24,0.733080714987736,1.94579600471391,0.000105207785376118,0.00561712635230101,0.00501863920565019,132,"tags=62%, list=15%, signal=55%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/Ccl5/Ccl2/Tlr2/Ccl20/Cx3cl1/Cxcl9/Lbp/Ccl7/Cd74/Cxcl11/Il23a"
"GO:0050900","GO:0050900","leukocyte migration",44,0.679029528330568,1.93921741949575,0.00010124531740407,0.00561712635230101,0.00501863920565019,162,"tags=57%, list=18%, signal=49%","Cxcl1/Cxcl5/Cxcl2/Sele/Cxcl10/Ccl5/Ccl2/Tlr2/Ccl20/Cx3cl1/Vcam1/Cxcl16/Pdgfb/Cxcl9/Lbp/Madcam1/Ccl7/Icam1/Cd74/Csf1/Cyp7b1/Cxcl11/Il23a/Ch25h/Nod2"
"GO:0019730","GO:0019730","antimicrobial humoral response",13,0.813523391917485,1.93802515262664,0.000112561909049977,0.00561712635230101,0.00501863920565019,162,"tags=92%, list=18%, signal=77%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/Ccl20/Tslp/Bcl3/Cxcl9/Pglyrp3/Slpi/Cxcl11/Nod2"
"GO:0001906","GO:0001906","cell killing",34,0.695007001624681,1.93067496650715,0.000102616726526424,0.00561712635230101,0.00501863920565019,147,"tags=50%, list=16%, signal=44%","Cxcl1/Cxcl5/Nos2/Cxcl10/Ccl2/C3/H2-M2/Ccl20/Cxcl9/Pglyrp3/Stx11/H2-Q10/H2-Q1/Il23a/H2-Q6/H2-Q4/H2-Q7"
"GO:0050921","GO:0050921","positive regulation of chemotaxis",15,0.784286877466302,1.92264340954596,0.000110705192073508,0.00561712635230101,0.00501863920565019,132,"tags=67%, list=15%, signal=58%","Cxcl10/Ccl5/Ccl2/Cx3cl1/Pdgfb/Lbp/Ccl7/Cd74/Csf1/Il23a"
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction",29,0.704865334412304,1.92129066345986,0.000103605470368835,0.00561712635230101,0.00501863920565019,160,"tags=55%, list=18%, signal=47%","Cxcl1/Cxcl5/Gbp6/Ccl5/Gbp2/Gbp9/Gbp3/Zc3h12a/Pglyrp3/Ifitm1/Gbp7/Icam1/Ptx3/Cd74/Ciita/Ch25h"
