"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gbp11",125.091928427264,6.58971351694337,0.985532819906812,6.68644755794785,2.28653031126003e-11,2.33180663993994e-09
"Traf1",379.25662809312,4.76001000885878,0.713412072660809,6.67217473781373,2.52040212578044e-11,2.55339949571665e-09
"Dhx58",300.308177468593,3.39084777042225,0.508295049737945,6.6710226121038,2.54027074009224e-11,2.55670778605754e-09
"D10Wsu102e",925.458124125092,0.68401964636922,0.102589222627691,6.66755852953102,2.60093749655037e-11,2.60076860450514e-09
"Enpp2",443.531410705471,3.88822890128097,0.58415010621883,6.65621534582824,2.80968501009155e-11,2.79137674002579e-09
"Ifit2",11143.5420904417,3.33445462402598,0.501055412201667,6.65486200293534,2.83565984548727e-11,2.79912345901657e-09
"Ets2",2386.9549239701,1.69167395991719,0.255857220082677,6.61178902581116,3.79702893673657e-11,3.72423239470105e-09
"Tapbp",5828.84707607609,1.57517406975986,0.238933594372715,6.59251820111461,4.32428149685285e-11,4.21453232721753e-09
"Pdgfb",404.883088103319,2.54160458418753,0.385905941438828,6.58607269613759,4.51612766194472e-11,4.37382703561552e-09
"Rffl",509.111991079929,1.54604909572164,0.234785235415942,6.58495025457067,4.55037717959881e-11,4.37945363679013e-09
"Cd74",24.5946803997864,3.90809354910162,0.59484070947039,6.56998333651567,5.03208930454525e-11,4.81299026091257e-09
"Herc6",1310.4611704908,3.13238006369183,0.477294184483643,6.56278698865894,5.28112647225432e-11,5.02000410779286e-09
"Tnfsf10",96.6897061819093,6.45734387253974,0.985102229828283,6.55499873720248,5.56423475426108e-11,5.25666570434763e-09
"Fam83c",20.4366317877729,2.87317262483455,0.439205766489641,6.54174613370499,6.08046577567091e-11,5.70933490729002e-09
"Rassf10",16.4343907741974,2.95157235779237,0.45137284750006,6.53910037819006,6.1889978055052e-11,5.77602286102876e-09
"3-Mar",116.538579052345,1.695212837994,0.259374451512838,6.53577416012425,6.32813449526661e-11,5.87029777666328e-09
"Slc7a2",4096.58480617033,3.55250848643154,0.54742084301253,6.48953822598644,8.60998598212062e-11,7.93923198435182e-09
"Slfn2",4078.39609392232,4.08853154829099,0.631441785349192,6.47491446266896,9.48656669576175e-11,8.69545479452591e-09
"Rhbdf2",1650.80198191029,1.5575347592547,0.24118396882931,6.45787017609364,1.06186772138715e-10,9.67556274653299e-09
"Heatr9",43.9505986973168,5.64131763083027,0.874549110228488,6.45054413165706,1.11449271828649e-10,1.00953372758198e-08
"Nod2",132.218430357694,3.72045877047698,0.57787267800406,6.4381980877297,1.20900153712525e-10,1.08873770001121e-08
"Nr3c2",93.740753969507,1.81912604105107,0.283257437390815,6.42216514350934,1.34349552431974e-10,1.20281904529068e-08
"Trim30a",1770.65533475586,3.98743685389235,0.623812346780299,6.39204541954455,1.63681259247569e-10,1.45695243419267e-08
"Oas2",280.166338815968,4.9127377670036,0.769126825116833,6.38742221252957,1.68705374947362e-10,1.49304256828415e-08
"Bcl10",1307.57942939705,0.700850730960285,0.110728071787736,6.32947652428918,2.45994314590809e-10,2.16460940021936e-08
"Fbrsl1",671.932494102455,1.07653353403832,0.172479627093822,6.24151125658875,4.33363244131549e-10,3.79168215703507e-08
"Gbp10",65.7478976686816,5.8902483147976,0.945106539723159,6.23236436023707,4.59447309678466e-10,3.97473546165096e-08
"Trp53",2110.70317206848,0.899366325971666,0.144291618973039,6.23297688647955,4.57653718179464e-10,3.97473546165096e-08
"Tmem132e",79.2955960502556,3.23822549243552,0.525367421201324,6.16373486774432,7.10488669362667e-10,6.11218716174061e-08
"Rassf4",4337.15305888877,4.15429797930674,0.676555762896078,6.14036300795632,8.23331123962582e-10,7.04359776549989e-08
"Atp2b4",2333.33032664456,0.965031963687303,0.157486308999502,6.12771973524602,8.91474361178758e-10,7.58442745181862e-08
"Ereg",838.484688295941,2.34716629938056,0.383768047103583,6.11610663549337,9.58891729909921e-10,8.11317238949609e-08
"Sod2",2974.03052161221,1.59023524071988,0.260184001892196,6.11196395302882,9.84124163802605e-10,8.28116284065373e-08
"Olfr56",66.2619191312168,4.30728367113357,0.70515887734866,6.10824568688493,1.0073220793688e-09,8.43030038054355e-08
"Olr1",2827.22090423249,1.72303032516816,0.282236157445431,6.10492412015391,1.02849532007462e-09,8.56097266693464e-08
"Pxn",2248.09606881807,0.692971362963058,0.113747476849252,6.09219107234743,1.11375634151797e-09,9.22082467905122e-08
