Gene_name,468-4_LPS,685-2_LPS-2,697-3_LPS-2,697-1_LPS-1,697-5_LPS,697-2_LPS,685-1_LPS,468-6_LPS,685-2_CTRL-3,697-3_CTRL-3,697-1_CTRL-3,468-4_CTRL,685-1_CTRL,697-5_CTRL,697-2_CTRL,468-6_CTRL
Pou1f1,0,0,0,3,1,0,0,0,1,0,1,1,1,0,0,0
Pou2af1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0
Pou2f1,65,491,259,946,656,204,1345,388,288,826,650,737,920,228,1261,33
Pou2f2,4,22,12,120,148,47,164,24,13,25,15,123,149,87,539,4
Pou2f3,2,2,0,3,16,1,12,17,4,13,3,11,17,9,18,0
Pou3f1,4,47,18,126,334,210,525,27,1,1,7,5,8,0,10,0
Pou3f2,0,0,2,4,0,4,16,1,0,0,0,4,9,3,3,1
Pou3f3,6,41,29,38,51,16,53,30,19,90,33,63,46,12,57,3
Pou3f3os,0,0,0,1,0,1,3,1,1,4,1,4,0,0,1,0
Pou3f4,10,55,27,64,123,25,125,70,37,67,34,124,118,41,120,8
Pou4f1,1,3,0,4,8,5,14,0,1,3,1,2,9,1,10,0
Pou4f2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0
Pou4f3,0,6,0,2,6,0,0,4,1,0,0,3,1,2,0,1
Pou5f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pou5f2,0,0,2,1,2,0,4,1,0,0,2,0,1,0,5,0
Pou6f1,83,508,228,890,1141,336,1913,677,430,770,765,930,1288,286,1506,67
Pou6f2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Pp2d1,0,0,1,7,9,1,3,7,0,1,0,4,2,1,2,0
Ppa1,207,1330,709,2021,2246,743,3818,987,708,1784,874,1732,1252,333,1407,83
Ppa2,72,503,281,1002,966,252,1630,714,349,775,633,863,1054,262,1004,56
Ppan,82,784,377,1266,920,219,2125,564,293,658,445,729,811,175,973,29
Ppap2a,715,3423,2471,6550,3308,692,4671,1745,2211,7111,4189,7101,2933,748,2990,140
Ppap2b,380,3184,1161,7115,5174,1145,6061,2387,1117,2216,1822,2580,1991,957,2748,164
Ppap2c,149,1053,431,1862,1046,216,1259,447,658,1425,1196,1930,820,249,1278,36
Ppapdc1a,0,0,1,3,2,0,1,0,1,0,0,1,0,0,4,0
Ppapdc1b,157,859,458,1489,1450,285,2224,1022,562,1373,977,1590,1464,326,1540,100
Ppapdc2,46,388,182,772,330,92,607,258,250,734,556,540,541,99,687,21
Ppapdc3,20,80,42,116,264,51,427,216,59,107,74,227,312,78,384,27
Ppara,5,53,49,192,16,1,16,8,42,148,146,90,25,6,27,1
Ppard,188,1263,491,1919,1648,380,3602,1211,584,1377,863,1615,1717,418,1917,88
Pparg,12,38,10,30,164,18,60,51,81,108,95,411,195,184,678,14
Ppargc1a,8,68,47,106,46,12,69,33,101,101,176,92,45,9,45,2
Ppargc1b,3,28,26,64,99,16,107,34,32,91,57,56,103,24,162,2
Ppat,47,429,214,820,361,106,900,300,269,595,397,488,543,110,696,25
Ppbp,0,8,2,7,4,1,1,8,0,1,4,3,1,2,2,0
Ppcdc,29,267,116,504,375,72,588,266,209,479,384,375,636,133,770,34
Ppcs,30,302,164,454,408,64,559,308,208,470,300,488,425,112,528,30
Ppdpf,34,176,126,269,357,58,394,197,125,323,174,284,268,66,315,12
Ppef1,18,44,5,16,75,31,238,47,22,39,13,182,149,13,103,5
Ppef2,2,54,5,83,31,2,22,4,14,13,20,23,12,2,9,0
Ppfia1,489,3201,1602,5702,5561,1412,7360,2767,1604,3910,2918,3880,3953,1054,5045,209
Ppfia2,2,36,15,41,29,2,16,8,21,61,43,69,18,5,32,3
Ppfia3,50,215,125,379,549,111,404,84,71,141,129,147,68,26,112,3
Ppfia4,10,133,40,106,226,41,209,146,124,152,135,169,224,87,390,13
Ppfibp1,1801,8606,4448,13134,24654,6197,45182,18515,5858,15103,9537,18458,32480,5924,30851,1732
Ppfibp2,209,479,195,723,3882,649,3192,1367,197,359,268,1027,2061,469,1601,73
Pphln1,162,1249,638,2525,2233,679,3899,1183,767,1811,1419,1809,2119,523,2617,88
Ppia,150,1227,436,1581,1052,282,1542,625,675,1544,994,1445,911,261,1611,46
Ppib,313,2511,1025,3944,2921,879,5025,1836,1524,3265,2480,3005,3059,666,3793,147
Ppic,680,3938,2415,8183,4794,1319,10603,5198,2174,6619,4018,6927,5959,1050,5702,344
