"","Gene_name","P4_5_1","P4_5_2","P4_5_3","P7_4_1","P7_4_2","P8_4_3","P8_4_4","P8_4_5"
"129","1700023F06Rik",-5.41365821351944,0.618140709732514,-1.09586690044705,1.66622470273012,1.04380145671471,1.58474122656212,1.0762835743326,-4.66438064087184
"130","1700023H06Rik",1.35552102064895,0.370884425839508,-1.18298691438631,4.19754908669518,-0.773836445071575,0.596070780567226,-5.23806818154851,3.40469946836066
"131","1700023L04Rik",-2.16546328540778,-1.85916027274616,-2.45309384271188,-1.06538093660874,1.48172361283399,-0.494335222997448,-9.02667923507718,0.851174867090164
"132","1700024J04Rik",1.65157745675695,0.286886283358969,3.32429398210448,-1.06538093660874,-0.251935716714221,-0.494335222997448,0.703110020645346,-0.251388495643702
"133","1700024P16Rik",-22.0902916391634,-20.7027574276493,3.26013379651598,-17.6831047198083,-13.1912781560746,-13.6522576936404,30.222414254771,-13.9589796663674
"134","1700025G04Rik",-116.53583999793,-231.695908533528,-189.204519740283,-173.52078607159,-249.236539924821,-21.7148933997591,-126.962868278413,-52.5514360563454
"135","1700026D08Rik",-3.56751842238261,0.163258141412467,1.87994702590039,-1.06538093660874,4.09122725462075,-0.494335222997448,15.1112071273855,6.05249475549754
"136","1700026L06Rik",-10.0871753367689,-5.166966392933,-9.62132643191035,-5.12662342766989,-10.2638895202644,-5.34312317782787,10.2030754127951,-0.282812057599166
"137","1700027A07Rik",-5.3903911553565,-0.909765136640096,2.59371604847312,0.200281255373793,3.82126224297762,0.298035390283613,-3.97519783037229,-0.976869114912015
"138","1700028E10Rik",0.272789377945059,-1.61190398885315,1.79282701196113,3.13216815008644,-5.01499154923957,-0.494335222997448,-12.8152902886058,-0.125694247821851
"139","1700028I16Rik",0.989663410052119,-0.993763279120635,-1.19979582544495,-2.23090250090437,0.0180292949289109,-4.05641734154936,15.1112071273855,0.788327743179238
"140","1700028J19Rik",6.7543380450818,-0.00947628709722181,-2.88561845376212,3.73301191620782,-0.989713571927975,6.24440063110443,-0.559760330530875,-0.69131836302018
"141","1700028K03Rik",-2.74072441947109,-5.8342133892287,4.19856958014314,-7.92220372674851,12.3097403537201,1.29387711870423,-6.73076239629751,-0.311496925261963
"142","1700028P15Rik",-0.467351712324944,-1.0333932785866,-1.18298691438631,0.30042188306069,0.353943583881206,0.298035390283613,1.0762835743326,0.756904181223776
"143","1700029F12Rik",-0.934703424649888,0.370884425839508,0.0871200139392604,0.200281255373793,-0.689857872833501,1.58474122656212,1.0762835743326,-0.0942706858663889
"144","1700029I15Rik",0.249522319782116,4.16846497026375,-2.1917338008941,-3.3964240652,-1.63165146238122,8.61434118852189,5.19483109481936,-3.78178221182621
"145","1700029J07Rik",-12.508576261969,-20.3762411448244,-27.9224680534578,-14.9793077722621,-3.00519930564175,-6.3031084941199,-185.541829019519,-4.11648661616563
"146","1700030C10Rik",-6.94047451038533,-4.42045939770536,0.331671144698401,4.19754908669518,1.31376646835784,3.07491817798019,-11.5524199374296,2.33355966758225
"147","1700030C14Rik",2.56301382324389,3.92120868637074,0.522720083635563,1.56608407504322,3.13140437014412,6.53526473896232,1.0762835743326,1.73377329613579
"148","1700030J22Rik",11.865524502483,-5.01318453861775,0.00615091729211059,-9.35198120615771,-13.4911338551691,8.53411947822927,-31.7447071263222,-34.7874666990743
"149","1700030K09Rik",-27.2463853366364,-90.7150429494707,-44.1815122328213,-65.9367628897458,-74.330050806845,-41.3793954796616,-42.0661771663258,-49.127565727936
"150","1700030M09Rik",0.444084654162002,-3.38706611911877,0.626649008633464,-2.33104312859127,-0.773836445071575,2.87144706284063,3.41543749984142,-0.0942706858663889
"151","1700034H15Rik",-13.8492560935314,-7.60937551949431,-13.7266250808221,8.7678519923453,0.929932197025291,2.3842831222689,7.90715857401543,0.633948627694586
"152","1700034J05Rik",-0.934703424649888,-0.454882568320048,0.713769022572725,-6.12802970453886,-0.167957144476148,-1.78104105927596,1.0762835743326,-0.945445552956553
"153","1700034P13Rik",-3.68222683694324,7.54476636089083,-12.077283510279,-6.58694646220093,-32.0447048296674,-26.7671524697291,13.6161911156884,106.816319468862
"154","1700037C18Rik",-6.86023691775407,-12.5781919150975,-5.38606357100387,-1.55772679888873,-13.9950052885975,21.4957421161584,-69.3008811946507,-8.25214409237994
"155","1700037H04Rik",-84.8986874763133,-168.767459431681,-121.443601647414,-159.748639558229,-177.25551707919,-68.5476565008538,401.601474158308,101.117842822573
"156","1700040L02Rik",-1.40205513697483,-3.84194868743881,5.67345889981846,-6.12802970453886,1.91964576895327,-2.27537628227341,1.0762835743326,-5.60982619382839
"157","1700041G16Rik",1.05946458454095,0.494512567786011,1.61858698408261,0.100140627686897,4.42714154357305,1.58474122656212,1.0762835743326,-2.8049130969142
"158","1700042O10Rik",-2.80411027394966,-0.662508852747091,-3.46184072921967,-4.76222688486943,-0.0659492773091639,5.24855890268381,1.0762835743326,-2.86776022082512
"159","1700047A11Rik",-3.86357485849061,0.039629999465963,-2.54021385665114,3.03202752239954,1.64968075731013,2.37711183984318,-3.27208780972694,0.788327743179238
