"","x"
"1036","Mn1"
"1037","Igf1"
"1038","Gm4980"
"1039","Kcp"
"1040","Oip5"
"1041","Alx1"
"1042","Osmr"
"1043","Eva1b"
"1044","Cux1"
"1045","Hoxb2"
"1046","A730020M07Rik"
"1047","Tjp3"
"1048","Clec4a1"
"1049","Vdr"
"1050","Ltc4s"
"1051","Lamc1"
"1052","Kirrel"
"1053","Gm17147"
"1054","Gm2237"
"1055","Gm10600"
"1056","Mpped2"
"1057","Dennd2d"
"1058","Npas2"
"1059","Fmo3"
"1060","Soga3"
"1061","Pla2g4c"
"1062","Nkain3"
"1063","2010204K13Rik"
"1064","Adamtsl2"
"1065","Rab19"
"1066","Gm14042"
"1067","Scarf2"
"1068","Padi2"
"1069","Tnni2"
"1070","Gm7331"
"1071","Gm4518"
"1072","Gm20544"
"1073","Brip1"
"1074","4930483K19Rik"
"1075","Myh9"
"1076","Gm14005"
"1077","Dgkk"
"1078","Mrc2"
"1079","Hpgd"
"1080","Gm5620"
"1081","Dbn1"
"1082","B3gnt7"
"1083","Hipk4"
"1084","Hoxb3"
"1085","Grm7"
"1086","Tmem156"
"1087","Kcnb2"
"1088","Mfap5"
"1089","Cmtm8"
"1090","Ppl"
"1091","2610203C22Rik"
"1092","Mylk"
"1093","Kif27"
"1094","Sfrp4"
"1095","Tmc7"
"1096","Hcar2"
"1097","Pde4b"
"1098","Garnl3"
"1099","Ggn"
"1100","Adam12"
"1101","Rps16"
"1102","Synpo2"
"1103","Cpxm2"
"1104","Gm26581"
"1105","Tecta"
"1106","Axdnd1"
"1107","4933430I17Rik"
"1108","Smim24"
"1109","Cyba"
"1110","Pknox2"
"1111","Lipn"
"1112","Olfr1372-ps1"
"1113","Tll1"
"1114","Mbp"
"1115","Cdt1"
"1116","2810468N07Rik"
"1117","Polq"
"1118","S1pr3"
"1119","Atp2a3"
"1120","Ccr1"
"1121","3300005D01Rik"
"1122","Mboat1"
"1123","Trac"
"1124","Atp6v0a4"
"1125","Ppara"
"1126","Cthrc1"
"1127","Gm3248"
"1128","Gm5862"
"1129","Pde1a"
"1130","Cdc42ep5"
"1131","Cdc6"
"1132","Gpr183"
"1133","Ankrd35"
"1134","Mcam"
"1135","Kif18b"
"1136","4930562C15Rik"
"1137","Ptgs2os"
"1138","Hspa12a"
"1139","1700064E03Rik"
"1140","Evi2a"
"1141","Olfr456"
"1142","Gng3"
"1143","Dctd"
"1144","Cdh4"
"1145","Gareml"
"1146","Mogat2"
"1147","2700099C18Rik"
"1148","Gm15453"
"1149","Mdfi"
"1150","Gm11545"
"1151","Ccdc18"
"1152","Tnfrsf26"
"1153","Gm15418"
"1154","E2f2"
"1155","Fmo6"
"1156","Lrig1"
"1157","F2r"
"1158","Gm20483"
"1159","Cmklr1"
"1160","Gm12424"
"1161","Gm13204"
"1162","Gm11536"
"1163","ENSMUSG00000095306"
"1164","Actg2"
"1165","Fst"
"1166","Jph1"
"1167","Kcne4"
"1168","S100a10"
"1169","Spocd1"
"1170","11-Sep"
"1171","Gm16096"
"1172","Fibin"
"1173","Gata6"
"1174","Tnni3"
"1175","Pdlim2"
"1176","Sh2d4b"
"1177","Rbpsuh-rs3"
"1178","Foxd2os"
"1179","6430562O15Rik"
"1180","Anln"
"1181","Ager"
"1182","Susd1"
"1183","Grb10"
"1184","Rassf2"
"1185","Flt4"
"1186","Clca5"
"1187","Kcnma1"
"1188","Itga9"
"1189","Gm15640"
"1190","Gdf6"
"1191","Fbln1"
"1192","Tox2"
"1193","4-Sep"
"1194","Fabp5"
"1195","Heg1"
"1196","Slc39a12"
"1197","E2f7"
"1198","Gm10307"
"1199","Gcnt1"
"1200","Chsy3"
"1201","Tmem52b"
"1202","Tmem173"
"1203","Gm43154"
"1204","Papolb"
"1205","Gm26854"
"1206","Rgcc"
"1207","Neb"
"1208","Gm15958"
"1209","Oit3"
"1210","Gm13302"
"1211","Fggy"
"1212","Zic1"
"1213","Acot4"
"1214","Gm10676"
"1215","Myo1a"
"1216","Iqgap2"
"1217","Gli2"
"1218","Kif19a"
"1219","Gm12416"
"1220","Tnik"
"1221","Ankrd37"
"1222","Gpr35"
"1223","Asb10"
"1224","Tfpi"
"1225","Rpsa-ps9"
"1226","Rsad2"
"1227","Eno3"
"1228","Kcna3"
"1229","Hcst"
"1230","Angpt4"
"1231","Dysf"
"1232","9330154J02Rik"
"1233","Prune2"
"1234","U90926"
"1235","Mill2"
"1236","Gm11110"
"1237","Asb2"
"1238","1700071M16Rik"
"1239","Ch25h"
"1240","Slc10a6"
"1241","Slc17a8"
"1242","Sptb"
"1243","Epb4.1l4a"
"1244","Bcat1"
"1245","Oasl1"
"1246","Itga11"
"1247","Sprr3"
"1248","Gm14230"
"1249","Efhb"
"1250","Adamts10"
"1251","Gm20878"
"1252","2610528A11Rik"
"1253","2010110K18Rik"
"1254","Tnk2os"
"1255","Rnf183"
"1256","AW551984"
"1257","Slc44a3"
"1258","Ifi203"
"1259","Gm11496"
"1260","Stk32c"
"1261","B430203G13Rik"
"1262","Gm20657"
"1263","Ccr5"
"1264","CR974586.2"
"1265","Gm21093"
"1266","Gm3883"
"1267","Ddc"
"1268","Ceacam16"
"1269","Sncaip"
"1270","Oasl2"
"1271","Siglece"
"1272","Gm15708"
"1273","Olr1"
"1274","Gm9967"
"1275","D430019H16Rik"
"1276","Fam71f1"
"1277","Ptgis"
"1278","Gm15912"
"1279","BC068157"
"1280","4930558J18Rik"
"1281","Akr1c12"
"1282","Gm10535"
"1283","Prokr2"
"1284","Tmem221"
"1285","Snora31"
"1286","Flna"
"1287","Map3k7cl"
"1288","Gm16299"
"1289","Dscc1"
"1290","C430014B12Rik"
"1291","Ccin"
"1292","Clec2e"
"1293","Siglecg"
"1294","Tmem26"
"1295","Slc8a1"
"1296","Rasgrp4"
"1297","Cck"
"1298","Gm7645"
"1299","Alx4"
"1300","Gdf10"
"1301","Inpp4b"
"1302","Sertad4"
"1303","E030010N08Rik"
"1304","Prdm1"
"1305","Rasgrp3"
"1306","Zeb2os"
"1307","Gstm2"
"1308","Gm4793"
"1309","Gm20470"
"1310","H2-M9"
"1311","Gm14686"
"1312","Cacna1g"
"1313","Lce1h"
"1314","Kynu"
"1315","Abcb4"
"1316","Scn9a"
"1317","Naip6"
"1318","Actn3"
"1319","Il1rl1"
"1320","Gm26650"
"1321","Gm15513"
"1322","Zic4"
"1323","Spsb4"
"1324","6330419J24Rik"
"1325","Bex4"
"1326","Grap"
"1327","Col16a1"
"1328","Rpl18-ps1"
"1329","Has1"
"1330","Egr2"
"1331","Fam132b"
"1332","Sap25"
"1333","Adhfe1"
"1334","ENSMUSG00000071295"
"1335","Acta1"
"1336","Rin3"
"1337","D630023F18Rik"
"1338","Hist1h2bq"
"1339","Hoga1"
"1340","Lrrc15"
"1341","Gdf3"
"1342","Gm3383"
"1343","Gm16141"
"1344","Zp3"
"1345","A230083G16Rik"
