gene,log2FC,pvalue,adjusted_pvalue
Parp4,0.4308179638395,7.53957822937776e-08,5.92238852017774e-06
Nek6,0.547926565886168,7.7811692502711e-08,6.08535214480632e-06
Slc43a2,0.889176900381352,8.90093086561328e-08,6.93067678012011e-06
Ikbke,1.39710011059289,9.32644715377661e-08,7.2304295303909e-06
Igtp,1.26086396879789,1.06170141033231e-07,8.1953237435651e-06
Ifi35,0.558266354150257,1.1869977602161e-07,9.12299873379884e-06
Cd82,0.478457013060681,1.23555671644015e-07,9.45545571280869e-06
Rela,0.597012840568944,1.27736305813942e-07,9.73361567935217e-06
Trim12a,0.922247115943829,1.30631748830263e-07,9.91189239741457e-06
Zhx2,0.943515005147188,1.42559211120926e-07,1.07710732775306e-05
H2-M2,4.00338570746818,1.49031016714787e-07,1.12125403335079e-05
Erbb2ip,0.435247256401228,1.53973320638834e-07,1.15357070601304e-05
Pnrc1,0.764714578481602,1.57907372692772e-07,1.17809471233674e-05
Pik3cd,0.813534716181752,1.59447683686707e-07,1.18462985325736e-05
Ptpn9,0.344190747233259,1.63378121353747e-07,1.20879472276293e-05
Tor3a,0.526459316230636,1.6478426312678e-07,1.21416041149323e-05
Fbxl22,1.57264977170031,1.66112355870508e-07,1.21890922531976e-05
Psme2,0.893878259061577,1.71753461965067e-07,1.2551376968439e-05
C77080,0.863341910650084,1.77335870350457e-07,1.29064322621183e-05
Cilp2,1.82492460981779,1.7919887930508e-07,1.29890049467028e-05
Elf3,3.4995627808414,1.88458961048701e-07,1.36049058075279e-05
Utp14b,-1.21402097768456,1.90423969651541e-07,1.36913298502284e-05
Myo1e,-0.429010360613591,1.9166178506883e-07,1.37249850986438e-05
Ninj1,0.583861774501791,1.97776510192538e-07,1.41062118129726e-05
Ifnar2,0.712823689025206,2.0282833899798e-07,1.44088928791752e-05
Hk2,0.881502676166498,2.08959894433634e-07,1.47855709430402e-05
Stx6,1.00863560413719,2.10416273300037e-07,1.48297730008417e-05
ENSMUSG00000085685,0.858567740204529,2.13986234166125e-07,1.50220021315597e-05
Mllt3,-0.492546533196134,2.49240800975133e-07,1.74282851850494e-05
Foxs1,2.85486806016026,2.60178173690106e-07,1.81220195901105e-05
Egln3,1.30333248938069,2.86755495384471e-07,1.9887052383251e-05
Rfx5,0.711758228094602,2.87749397951812e-07,1.9887052383251e-05
Itgb8,0.94099175504318,2.98487435236303e-07,2.05495345857086e-05
Erap1,0.916693090583913,3.07540583778516e-07,2.10486112084376e-05
Gm11874,2.16018091931384,3.08097556244866e-07,2.10486112084376e-05
Gm15698,-1.31121262034033,3.23938205367241e-07,2.19625176422178e-05
Inf2,0.769804756777515,3.23380327892652e-07,2.19625176422178e-05
Heatr9,3.93878931942483,3.27518515680486e-07,2.21211464132528e-05
Pcsk2,2.6332555289404,3.4096494389462e-07,2.29424374135282e-05
Rgs16,1.90117092156969,3.5066410216087e-07,2.35063594196634e-05
Slpi,2.72713687576893,3.81820615599479e-07,2.54990389391547e-05
Jak2,1.03090906367387,3.91106794170512e-07,2.60217359957253e-05
Nub1,0.687929073459182,4.04816710937032e-07,2.67343954545119e-05
Nmi,0.707103097186674,4.03949734848145e-07,2.67343954545119e-05
Mycl,1.02544011615514,4.57138770131378e-07,3.00783815875004e-05
Bahcc1,0.496731882598854,4.78822784307235e-07,3.11601790765778e-05
Slc4a7,0.658093712748848,4.76945011539718e-07,3.11601790765778e-05
Tmcc3,0.560044982847997,4.785668762869e-07,3.11601790765778e-05
Zc3h12c,0.653136958230984,5.05952511488201e-07,3.28059608448949e-05
Cd274,2.1178683313813,5.77769514679384e-07,3.73268413632178e-05
