gene,log2FC,pvalue,adjusted_pvalue
Slpi,4.15044277446172,1.17407555085661e-09,9.66822962975451e-08
St3gal1,1.45990513313089,1.2618109520039802e-09,1.03354398137815e-07
Gm5431,4.36027412789074,1.3104669232643101e-09,1.0677185265263e-07
Ifngr2,0.765758470877265,1.4537121078831801e-09,1.17819540785753e-07
Mndal,4.57292196525112,1.5603890572949e-09,1.2580330415332e-07
Arid5a,1.89612952318447,1.9417760681548e-09,1.55736508716228e-07
Lbp,2.72706088250566,1.97637527543866e-09,1.57690170292642e-07
Foxs1,2.26443630780949,2.01839701352433e-09,1.60212863975573e-07
Gch1,2.47206506620185,2.04567448523045e-09,1.61545340502891e-07
Gm266,4.24142655308408,2.2245288182431603e-09,1.74773057510849e-07
Btg1,1.05459721885885,2.44757758831989e-09,1.91321052195624e-07
Col5a3,1.84288019088345,2.5821532202710403e-09,2.00821098176534e-07
Gm10432,3.74111160049218,2.8093816307707604e-09,2.17395315237382e-07
Ifnar2,1.23874894530689,3.0132840987434802e-09,2.32007809182754e-07
Stx6,1.0549033775633,3.24189534511156e-09,2.48367892633696e-07
Tslp,2.60237192715374,3.4026797614038403e-09,2.59395374484444e-07
Irgm1,2.17000525396913,3.56535072918857e-09,2.70457319599875e-07
Penk,3.50696519929525,3.6106000652820505e-09,2.72547207869011e-07
Nedd4l,0.75317714123959,3.74350488854205e-09,2.81201130627605e-07
Helz2,2.69659574920202,3.79182553683857e-09,2.83448162338724e-07
Pnkd,0.668665997498922,3.8455602865613605e-09,2.860762456655e-07
Adora2a,4.12888980529826,3.9930213567723e-09,2.9561796092758e-07
Cilp2,2.36565406470172,4.37223364385112e-09,3.22143664505567e-07
Gm4951,5.02734597768353,4.4920875266847105e-09,3.27837231390606e-07
Gm4841,4.65267764696832,4.48201647066268e-09,3.27837231390606e-07
Psmd10,0.745701812352648,4.67129511401378e-09,3.39307893682538e-07
Zfp598,0.476179877481438,4.810700843887731e-09,3.47793344108109e-07
Ube2l6,1.68792207170478,5.0513362012134405e-09,3.6348376711442e-07
Pnrc1,0.846881112376259,5.659979095709971e-09,4.05386130673664e-07
Lfng,-2.11486674745582,7.53854569697246e-09,5.37435486979995e-07
Arg2,3.07321628031583,7.59354717126321e-09,5.38861902720194e-07
Msrb2,-0.788311257063931,7.70551848177638e-09,5.44299445416856e-07
Ikbke,2.13817697971202,8.437541831171971e-09,5.93286331772681e-07
Rrs1,1.0415252979889,8.66075210120292e-09,6.06213280029199e-07
Parp8,1.35283254737353,1.05428130894626e-08,7.34609858663506e-07
Trim21,2.65398023547845,1.0791310519963e-08,7.48537795932026e-07
Nmi,2.30530504304972,1.11752578184464e-08,7.71694148637919e-07
Camkk2,1.34904074305154,1.25623958592524e-08,8.63608633199234e-07
Gcnt1,-1.8930287038503,1.26559984724702e-08,8.66176535455858e-07
Mtss1,-1.53433167963707,1.45297141819989e-08,9.90013578268149e-07
Serpinb2,4.0200913034328,1.80848095033058e-08,1.22681930194452e-06
Rcsd1,1.7129168197117,2.01449270392073e-08,1.36057776963488e-06
Nod1,1.42873546958204,2.31691488730105e-08,1.55799879255672e-06
Pglyrp2,5.39223792562091,2.36312616221503e-08,1.58216433791084e-06
Bcl2a1d,4.32030688084383,2.39687742741281e-08,1.59781452401428e-06
Nts,5.02376154491393,2.61648753152382e-08,1.73669359904893e-06
Ell2,1.20365609893303,2.6545216939037e-08,1.75437680534005e-06
Ntn1,2.13725265397317,2.9023214310879e-08,1.90995075715054e-06
Col22a1,2.2355904133341,3.11690209976905e-08,2.04243299720611e-06
Parp10,2.13727773205469,3.13623453842873e-08,2.04639303632475e-06
Tnfsf15,3.51286979665909,3.4107996235106e-08,2.21615626170632e-06
Il23a,4.29399958194306,3.5484050369521e-08,2.29587769596745e-06
Slc11a2,1.63856715166893,3.5761675223546e-08,2.30415914965433e-06
