gene,log2FC,pvalue,adjusted_pvalue
Crabp2,2.6611503079023,8.446467326159e-12,9.87743452791192e-10
Cdh1,4.50682592257257,9.56362044765498e-12,1.11028089269479e-09
Mecom,-3.42838043876164,1.00226240104917e-11,1.15519754872005e-09
Hspa12b,-2.26819771299641,1.0366261204487199e-11,1.1862705054077801e-09
Cemip,-2.06917111748834,1.13733032656403e-11,1.29228150084272e-09
Fem1b,0.544449090027637,1.24133189241562e-11,1.4005195949570902e-09
Stxbp2,0.892556861770432,1.3887448484890899e-11,1.55587980542963e-09
Loxl2,-1.66239568256714,1.4203258440513499e-11,1.5802111352462902e-09
Kirrel3,-2.83302055208824,1.6469801582357e-11,1.8197426975927e-09
Shisa4,-0.94171104224473,1.6767311799029898e-11,1.83992535844012e-09
Tle6,-1.98409674610173,1.69298691372965e-11,1.8451253976097102e-09
Sbsn,2.09403982355637,1.7804605874194597e-11,1.92734858588157e-09
H2-T23,2.19088429957008,1.93923530385039e-11,2.08513347671054e-09
Col6a3,-3.90592097490329,1.97305478792426e-11,2.10735405048898e-09
Ptprk,-0.872693839834854,1.99900012529204e-11,2.1209258945234303e-09
Mmp8,3.86007510475713,2.0786117108105298e-11,2.1908840933483903e-09
Txnrd3,-1.12986212277429,2.1112426190211597e-11,2.2107332025711103e-09
Ets1,-1.30787333118885,2.2264200440022298e-11,2.3161997094129703e-09
Cgnl1,-1.96639667434657,2.24790217579554e-11,2.3234606940916403e-09
Sorbs2,-2.09647471179035,2.2947852622501497e-11,2.3567150440070303e-09
Pvt1,-0.947253090038804,2.5241639825403797e-11,2.5757726856229e-09
Cpa6,-2.79501553105311,2.5849171908227898e-11,2.62107331102354e-09
4930526I15Rik,1.24331002426655,2.6068943104850698e-11,2.6267329401434703e-09
Il17rc,-1.0708433709551,2.7225552798249797e-11,2.7261286336297503e-09
Brpf3,-0.516720525507397,2.78295545178885e-11,2.7692999560937303e-09
Grasp,-2.09482730247396,2.85546003516115e-11,2.82390896440227e-09
Vps13d,0.610759918731244,2.94573328669771e-11,2.89531245314013e-09
Garnl3,-1.59181614119922,3.0883291553777e-11,3.0162211844867203e-09
Rarg,-1.05231333068148,3.10640094526128e-11,3.0162211844867203e-09
Got1l1,4.21023083730912,3.3270412614146395e-11,3.2109956656098805e-09
Nt5c3b,-1.04113644878378,3.45779573405452e-11,3.3172063146878702e-09
Frmd4b,2.70596425023378,3.5597866454937195e-11,3.37463561227544e-09
Qsox1,-1.23672453135472,3.54702090928518e-11,3.37463561227544e-09
Fam43a,-1.75327919236448,3.64679410785401e-11,3.43678167070171e-09
Insig1,-1.34614119276357,3.70763905322236e-11,3.4736891971740102e-09
Pcdh9,-1.50709385631897,3.7899595173614895e-11,3.5301710132353703e-09
Filip1l,-1.46075132609887,4.3886896547502396e-11,4.0642310380782405e-09
Pramef12,2.61262180649313,4.84555194083713e-11,4.4615280255259605e-09
Pde10a,-1.17208680443844,4.8746460833122895e-11,4.4626688514712105e-09
Plxnb2,0.372300375626077,5.215682458532149e-11,4.7477527652354306e-09
Vsig10l,-1.32908130370171,5.774656003875759e-11,5.226879312886641e-09
Lama2,-2.47716312737061,5.90738115083313e-11,5.316974911095371e-09
Rab13,-0.993981103168289,6.397704710586219e-11,5.726124422810161e-09
Lmod1,-2.15792699391474,6.578543559405609e-11,5.84266458806016e-09
Ptk2,-0.609746487341563,6.60085069870101e-11,5.84266458806016e-09
Dock1,-0.828649316468865,6.78414234226602e-11,5.971909036562861e-09
