gene,log2FC,pvalue,adjusted_pvalue
Smurf1,0.540702892492716,5.808975749761151e-09,2.35191900356083e-07
Tbc1d2b,0.919925096151011,6.1208316488763404e-09,2.47141120511187e-07
Lpar5,-4.46574824318785,6.2481938345647805e-09,2.51596208411985e-07
Cd14,3.24174880513548,6.27997131451042e-09,2.5218863066803e-07
Phc2,0.937639736803775,6.564991229873911e-09,2.62919892669584e-07
4933412E12Rik,1.86310305960062,6.938403183296921e-09,2.77123573629086e-07
Trim56,1.6504434755769,6.9787100647040505e-09,2.77982149154168e-07
Cdv3,0.59807827817849,7.063105008314051e-09,2.80587542507702e-07
Phlda1,1.45101406770096,7.3325142753072e-09,2.90509104451715e-07
Prokr2,4.81030405572106,7.37850759331525e-09,2.91549693085596e-07
Tnfsf15,3.68440224487781,7.895419369048961e-09,3.11142686495481e-07
AI467606,-3.94198471160954,8.523516523247341e-09,3.35001402075929e-07
Slamf7,5.0162725272682,8.99065203361022e-09,3.5242402056417e-07
Dgkz,-1.28687549439229,9.022328146464411e-09,3.52730067059394e-07
Gm6548,2.02991244192321,9.105897487365371e-09,3.55057923663022e-07
Rel,2.54578251512238,9.45250041950692e-09,3.67602766314403e-07
Arg2,3.05841170106209,1.00253945456199e-08,3.88859004186801e-07
Rxra,-1.1808902247036,1.00681651817655e-08,3.89495667686204e-07
