gene,log2FC,pvalue,adjusted_pvalue
Med12l,-0.573105201234347,0.001749429267881,0.0112412713199985
Chfr,-0.401366229191173,0.0017591464845597,0.0112953270636654
Dnmt1,-0.362195650389984,0.0017589309085188,0.0112953270636654
Golph3,0.313103272177833,0.0017631960592001,0.011317583967158
Elmsan1,-0.228688860143435,0.0017697225999464,0.0113557200163229
Celsr2,-0.608342819370552,0.0017904746786391,0.0114850812113433
Mef2a,0.350394952171461,0.001796431465356,0.0115194831968829
Sumo1,0.519780510502874,0.0017998982584131,0.0115379008279643
Epb4.1,-0.262088092770292,0.0018010913172099,0.0115417357725039
F9,1.50920088816642,0.0018044782425254,0.0115596222574987
Napepld,-0.544643040221792,0.001809355286827,0.0115870395992053
Mical2,-0.890991704251605,0.0018118179483416,0.0115989823390369
Smad7,-0.296942929678348,0.0018130258948831,0.0116028873563035
Thtpa,-0.261833592068005,0.0018158850527011,0.0116173536309308
Fancm,-0.293068348445878,0.0018209085671184,0.0116456525498899
Ngfrap1,-0.193825968242941,0.0018315272655124,0.0117097051268545
Emc9,-0.510663208499212,0.001832310652355,0.0117108550389647
Meox2,1.77506728972165,0.0018343492167308,0.0117200237739368
Fgd2,-0.689708009770585,0.0018369027752182,0.0117324757901038
Nr1d1,-0.646790148249515,0.0018389551559858,0.0117417195941918
Rasa4,0.363357751803538,0.0018407176980923,0.0117491073071655
Tut1,0.250781428578287,0.0018434545972026,0.0117627073344689
Prr3,0.244013472467751,0.0018531229296804,0.0118205119419854
Cog4,0.221939976971195,0.0018564337665015,0.0118377393378891
Kdsr,-0.226462598752771,0.0018610817671319,0.011863479175239
Cnnm4,-0.250680412225342,0.0018636253102396,0.0118757916321478
Olfr613,0.191517381464701,0.0018645189043192,0.0118775852985587
Usp17lc,1.01585871868942,0.0018714284527503,0.0119176887749154
Whsc1l1,0.12414268345399,0.0018821721016728,0.0119821743637991
Pnp2,0.878502551502868,0.0018953200849868,0.0120619189665744
Phf12,-0.178846362263146,0.0018984286480304,0.0120777408152077
Pnisr,-0.272250076563621,0.0019054934417707,0.0121187134526778
Pkdrej,-1.02344674120824,0.0019109580370977,0.0121455059783311
Rpp25,-1.3026945722446,0.0019108173078726,0.0121455059783311
Ets1,0.747925860796858,0.0019150265611293,0.01216737897582
Rhoc,0.284007560974782,0.0019315625390241,0.0122684253706135
